"key","x","y"
"C1-BRKHS3",0,210
"C1-BRKHS3",700,180
"C1-BRKHS3",1000,155
"C1-BRKHS3",3100,0
"C2",0,11.5
"C2",1750,10.6
"C2",2800,6.75
"C2",4100,0
"C3-HOLLY1",0,315
"C3-HOLLY1",810,243
"C3-HOLLY1",990,180
"C4-HOLLY2",0,328.3
"C4-HOLLY2",784,274.4
"C4-HOLLY2",1470,196
"C5-HOLLY3",0,306
"C5-HOLLY3",2430,238.5
"C5-HOLLY3",3150,189
"C6",0,300
"C6",350,242.5
"C6",440,190
"C7-BRKHS2",0,216
"C7-BRKHS2",1200,195
"C7-BRKHS2",1800,150
"C7-BRKHS2",3700,0
"C8-BRKHS1",0,220
"C8-BRKHS1",1200,196
"C8-BRKHS1",1800,150
"C8-BRKHS1",3750,0
"C9",0,350
"C9",550,250
"C9",650,220
"C10",0,35
"C10",1700,14
"C10",2000,7
"C11-HCBP",0,220
"C11-HCBP",900,200
"C11-HCBP",1500,175
"C12",0,22.7
"C12",2400,21.7
"C12",4000,19
"C13-R37B",0,240
"C13-R37B",500,206
"C13-R37B",700,184
"C13-R37B",2200,0
"C14",0,310
"C14",725,240
"C14",850,212.5
"C15",0,420
"C15",900,312.5
"C15",1100,270
"C16",0,610
"C16",700,375
"C16",1100,175
"C17",0,465
"C17",650,380
"C17",750,350
"C18",0,305
"C18",725,240
"C18",850,212.5
"C19-WA1",0,228.375
"C19-WA1",739.5,210.54
"C19-WA1",957,194.88
"C20-WA2",0,223.125
"C20-WA2",705.5,200.86
"C20-WA2",880,179.2
"C21-WA3",0,228.375
"C21-WA3",739.5,210.54
"C21-WA3",957,194.88
"C22-PKWYB1",0,209.44
"C22-PKWYB1",1742.4,187.44
"C22-PKWYB1",3000,135
"C22-PKWYB1",3920.04,0
"C23-PKWYB2",0,240
"C23-PKWYB2",3600,202.3
"C23-PKWYB2",4300,172.5
"C24-STRB1",0,320.4
"C24-STRB1",300,290
"C24-STRB1",600,210
"C24-STRB1",975,0
"C25-STRB2",0,320.4
"C25-STRB2",400,275
"C25-STRB2",600,215
"C25-STRB2",975,0
