"key","value","index"
"1",0.953,1
"1",0.8,2
"1",1.1,3
"1",1.265,4
"1",1.851,5
"1",2.6,6
"1",3.55,7
"1",3.5,8
"1",3.15,9
"1",2.75,10
"1",2.4,11
"1",2.15,12
"1",2.1,13
"1",2,14
"1",2.01,15
"1",2.1,16
"1",2.2,17
"1",2.4,18
"1",2.4,19
"1",2.2,20
"1",2.2,21
"1",2,22
"1",1.25,23
"1",1,24
"1",0.992,25
"1",1.001,26
"1",1.238,27
"1",1.274,28
"1",1.646,29
"1",2.5,30
"1",3.258,31
"1",3.073,32
"1",3.29,33
"1",3.148,34
"1",3.135,35
"1",2.902,36
"1",2.748,37
"1",2.604,38
"1",2.589,39
"1",2.419,40
"1",2.2,41
"1",2.4,42
"1",2.541,43
"1",2.7,44
"1",2.3,45
"1",1.8,46
"1",1.6,47
"1",1.3,48
"1",1,49
"1",0.872,50
"1",0.986,51
"1",1.209,52
"1",1.537,53
"1",2.776,54
"1",3.059,55
"1",2.846,56
"1",2.932,57
"1",2.966,58
"1",2.936,59
"1",2.84,60
"1",2.623,61
"1",2.376,62
"1",2.244,63
"1",2.17,64
"1",2.15,65
"1",2.415,66
"1",2.356,67
"1",2.341,68
"1",2.101,69
"1",2.025,70
"1",1.522,71
"1",1.02,72
"1",0.98,73
"1",1,74
"1",1.15,75
"1",1.25,76
"1",1.9,77
"1",2.8,78
"1",3.3,79
"1",3.1,80
"10-PBST",0,1
"10-PBST",0,2
"10-PBST",0,3
"10-PBST",0,4
"10-PBST",0,5
"10-PBST",0.733,6
"10-PBST",1.009,7
"10-PBST",0.989,8
"10-PBST",0.952,9
"10-PBST",0.931,10
"10-PBST",0.901,11
"10-PBST",0.82,12
"10-PBST",0.588,13
"10-PBST",0.596,14
"10-PBST",0.59,15
"10-PBST",0.612,16
"10-PBST",0.622,17
"10-PBST",0.845,18
"10-PBST",0.902,19
"10-PBST",0.886,20
"10-PBST",0.882,21
"10-PBST",0.559,22
"10-PBST",0,23
"10-PBST",0,24
"10-PBST",0,25
"10-PBST",0,26
"10-PBST",0,27
"10-PBST",0,28
"10-PBST",0,29
"10-PBST",0.702,30
"10-PBST",0.968,31
"10-PBST",0.955,32
"10-PBST",0.978,33
"10-PBST",0.952,34
"10-PBST",0.955,35
"10-PBST",0.935,36
"10-PBST",0.645,37
"10-PBST",0.724,38
"10-PBST",0.903,39
"10-PBST",0.896,40
"10-PBST",0.775,41
"10-PBST",0.658,42
"10-PBST",0.65,43
"10-PBST",0.854,44
"10-PBST",0.895,45
"10-PBST",0.699,46
"10-PBST",0.498,47
"10-PBST",0.247,48
"10-PBST",0,49
"10-PBST",0,50
"10-PBST",0,51
"10-PBST",0,52
"10-PBST",0.163,53
"10-PBST",0.712,54
"10-PBST",0.941,55
"10-PBST",0.927,56
"10-PBST",0.924,57
"10-PBST",0.919,58
"10-PBST",0.906,59
"10-PBST",0.931,60
"10-PBST",0.824,61
"10-PBST",0.611,62
"10-PBST",0.591,63
"10-PBST",0.595,64
"10-PBST",0.732,65
"10-PBST",0.879,66
"10-PBST",0.881,67
"10-PBST",0.899,68
"10-PBST",0.704,69
"10-PBST",0.543,70
"10-PBST",0.391,71
"10-PBST",0,72
"10-PBST",0,73
"10-PBST",0.313,74
"10-PBST",0.532,75
"10-PBST",0.564,76
"10-PBST",0.599,77
"10-PBST",0.811,78
"10-PBST",0.967,79
"10-PBST",0.949,80
"29-W43",1.148,1
"29-W43",1.12,2
"29-W43",1.005,3
"29-W43",1.188,4
"29-W43",1.081,5
"29-W43",1.273,6
"29-W43",1.089,7
