"id","start","end","length"
"1","1","2",141.002
"2","3","4",338.722
"3","2","5",358.783
"4","5","6",30.032
"5","7","8",105.567
"6","9","7",160.335
"7","10","11",50.399
"8","9","12",71.884
"9","13","14",56.924
"10","15","3",25.784
"11","6","16",569.7
"12","7","17",308.784
"13","18","19",56.943
"14","18","20",34.016
"15","21","22",71.492
"16","21","23",76.725
"17","24","21",148.935
"18","25","26",133.05
"19","27","28",190.585
"20","25","30",49.064
"21","31","32",83.254
"22","25","33",89.697
"23","32","34",482.59
"24","35","36",30.656
"25","37","38",6.895
"26","34","27",279.902
"27","27","39",277.281
"28","40","41",107.997
"29","40","42",300.707
"30","42","43",128.65
"31","44","45",64.711
"32","46","47",78.423
"33","46","48",125.855
"34","49","50",67.07
"35","51","49",219.538
"36","51","52",162.515
"37","53","51",546.945
"38","54","55",108.385
"39","54","56",186.206
"40","57","58",159.627
"41","16","59",424.548
"42","16","60",46.053
"43","59","61",155.794
"44","59","62",116.536
"45","63","64",504.117
"46","63","65",19.867
"47","66","67",22.389
"48","68","69",306.278
"49","68","70",69.871
"50","61","71",232.406
"51","72","73",114.902
"52","74","75",60.867
"53","76","72",58.605
"54","77","78",75.315
"55","72","79",115.263
"56","80","81",36.026
"57","82","83",151.584
"58","84","85",77.865
"59","84","86",142.683
"60","87","88",59.647
"61","86","89",52.901
"62","90","37",32.86
"63","90","91",41.905
"64","39","92",31.877
"65","93","92",81.644
"66","94","92",22.254
"67","40","96",285.59
"68","90","97",128.497
"69","98","99",149.47
"70","100","101",71.213
"71","98","102",40.011
"72","103","104",56.731
"73","100","105",69.819
"74","106","107",38.588
"75","107","108",261.999
"76","109","110",58.913
"77","111","112",209.127
"78","111","113",190.604
"79","114","115",125.404
"80","115","116",157.428
"81","117","118",222.958
"82","119","120",188.358
"83","121","122",106.596
"84","121","123",146.749
"85","124","125",589.137
"86","125","132",330.973
"87","127","128",137.328
"88","103","129",112.155
"89","129","130",45.796
"90","131","132",30.188
"91","132","133",33.462
"92","132","134",49.424
"93","133","135",215.186
"94","103","136",142.176
"95","108","137",534.56
"96","134","138",81.277
"97","139","140",49.64
"98","139","117",145.115
"99","119","142",52.743
"100","143","144",64.27
"101","145","139",95.845
"102","145","146",18.761
"103","147","148",166.649
"104","149","150",30.062
"105","151","152",54.403
"106","153","154",55.936
"107","155","151",281.258
"108","137","155",27.721
"109","153","156",32.79
"110","157","158",37.142
"111","159","160",8.737
"112","120","161",425.062
"113","161","162",349.29
"114","161","163",256.598
"115","160","164",401.896
"116","164","165",11.952
"117","166","167",198.536
"118","166","168",34.857
"119","169","170",138.434
"120","171","172",259.129
"121","173","174",154.356
"122","175","176",79.077
"123","171","177",162.335
"124","178","171",152.64
"125","172","179",220.793
"126","179","180",206.08
"127","181","182",86.503
"128","181","183",142.219
"129","167","184",258.734
"130","180","185",190.669
"131","186","187",132.6
"132","188","189",28.22
"133","189","190",141.836
"134","190","191",149.213
"135","190","192",127.032
"136","191","193",204.48
"137","175","194",117.177
"138","180","195",282.63
"139","189","196",347.772
"140","197","196",63.93
