"id","x","y","z","demand","pattern"
"1",0,7180.69,54.268,0,"1"
"10",363.61,7713.35,52.493,0.10954816,"1"
"100",1576.82,9120.64,45.932,0.28301069,"1"
"1000",8505.67,14947.41,42.651,0.58184489,"1"
"10000",42531.47,28575.07,13.123,0.6907725,"1"
"10001",42728.45,28142.74,9.911,0.18998291,"1"
"10002",42944.31,28117.8,9.843,0,"1"
"10003",42948.8,28116.37,9.843,0.08601442,"1"
"10004",42974.29,28116.52,9.843,0.0618897,"1"
"10005",42997.57,28534.86,9.843,1.02417542,"1"
"10006",42950.6,28142.61,9.843,0.04549822,"1"
"10007",42679.2,28887.41,13.123,0.14652054,"1"
"10008",42666.84,28798.45,13.123,0.56741861,"1"
"10009",42676.21,29013.8,13.123,0.33078263,"1"
"1001",8367.88,15107.79,42.651,0.37430077,"1"
"10010",42662.19,29204.24,13.123,1.10446112,"1"
"10011",42659.54,29319.34,13.123,0.54901211,"1"
"10012",42661.03,29398.77,13.123,0.50990909,"1"
"10013",43068.28,29219.05,13.661,0.67477481,"1"
"10014",42884.57,29209.58,13.123,0.7876637,"1"
"10015",42696.84,28795.72,13.123,0.8395733,"1"
"10016",43103.52,29369.35,14.16,0.23487743,"1"
"10017",43139.11,28099.29,9.843,0.12377941,"1"
"10018",43164.63,28095.43,9.843,0.23860348,"1"
"10019",43207.53,28088.77,9.843,0.08080858,"1"
"1002",8433.96,15183.13,42.651,0.41321835,"1"
"10020",43194.34,28513.81,9.843,0.63011398,"1"
"10021",43191.92,28544.4,9.843,0.20690702,"1"
"10022",43408.59,28053.91,9.843,0.16161716,"1"
"10023",43422.41,28224.84,9.843,0.27794447,"1"
"10024",43410.73,28070.31,9.843,0.55588894,"1"
"10025",43463.65,28496.12,9.843,0.21156102,"1"
"10026",43256.28,28508.72,9.843,0.07858576,"1"
"10027",43497.64,29230,12.044,0.45247789,"1"
"10028",43469.91,29228.37,12.444,0.32700848,"1"
"10029",43329.25,28814.79,13.123,0.63501764,"1"
"1003",8741.29,14355.08,39.37,0.240027,"1"
"10030",43337.48,28843.98,13.123,0.22355497,"1"
"10031",43443.22,29054.45,13.123,0.11177748,"1"
"10032",43495.91,29191.01,12.831,0,"1"
"10033",43118.97,29643.02,9.843,0.67316519,"1"
"10034",43127.75,29626.68,9.843,0.29481934,"1"
"10035",43553.36,29234.34,11.65,0.16613226,"1"
"10036",43536.27,29234.23,11.65,0,"1"
"10037",43809.6,29245.71,9.843,0.55855941,"1"
"10038",43803.15,29247.13,9.843,0.33226451,"1"
"10039",43497.33,29281.36,11.014,0.5779473,"1"
"1004",8754.22,14346.76,39.37,0.12435487,"1"
"10040",42658.71,29458.5,13.123,0.25405847,"1"
"10041",42655.93,29925.13,11.539,0.66455101,"1"
"10044",43014.93,29568.81,9.843,0.56640101,"1"
"10045",43091.64,29951.41,9.843,0.26845699,"1"
"10046",43079.48,29829.3,9.843,0.09290671,"1"
"10047",43090.66,30115.33,9.843,0.73337838,"1"
"10048",43074.98,30254.4,10.558,0.02342059,"1"
"10049",43090.61,30122.62,9.843,0.04684119,"1"
"1005",9110.18,14590.28,39.37,0.38874449,"1"
"10051",42769.31,30595.73,13.123,0.17510884,"1"
"10052",42775.48,30640.21,13.123,0.35021768,"1"
"10053",42566.24,30971.2,6.762,0.35468561,"1"
"10054",42728.82,30951.4,7.677,0.52979445,"1"
"10055",43507.7,30404.16,13.123,0.64396921,"1"
"10056",43388.11,30400.89,13.123,0.33154645,"1"
"10057",42840.09,30939.31,10.41,0,"1"
"10058",43144.63,29661.39,9.843,0.39220333,"1"
"10059",43503.13,30091.57,9.843,0.66355652,"1"
"1006",9075.79,14633.1,39.37,0.63319126,"1"
"10060",43498.71,29799.75,6.562,0.07189031,"1"
"10061",43483.6,29796.74,6.562,0.08990822,"1"
"10062",43497.78,29580.08,7.103,0.31590984,"1"
"10063",43497.4,29644.19,6.798,0.05387239,"1"
"10064",43674.96,29603.36,5.577,0.21068117,"1"
"10065",43497.78,29580.08,7.103,0.15629167,"1"
"10066",43508.39,29960.82,9.843,0.12010146,"1"
"10067",43498.5,29834.35,6.877,0,"1"
"10068",43524.16,29806.82,6.526,0.62604654,"1"
"10069",43524.16,29806.82,6.526,0,"1"
"1007",8877.66,14505.79,39.37,0.65653351,"1"
"10070",43491.69,30223.37,10.197,0.05550091,"1"
"10071",43501.06,30108.31,9.843,0.11100182,"1"
