"name","demand","degree","strength","closeness","betweenness","eccentricity","tank_distance"
"1",0,1,141.002,1.70815176854456e-09,0,380,163
"10",0.10954816,2,98.059,1.71031536540092e-09,14996,384,167
"100",0.28301069,3,257.434,1.79764496516596e-09,33511,377,160
"1000",0.58184489,1,263.677,2.22265187675824e-09,0,312,95
"10000",0.6907725,2,520.045,2.06845200311389e-09,2424895,281,63
"10001",0.18998291,2,71.101,2.02855125576702e-09,14996,284,66
"10002",0,1,4.703,2.0199123400228e-09,0,285,67
"10003",0.08601442,4,95.504,2.02020013110204e-09,83216,284,66
"10004",0.0618897,2,190.736,2.019105847812e-09,11689,285,67
"10005",1.02417542,3,1059.67,2.04627511414904e-09,2434181,282,64
"10006",0.04549822,2,421.944,2.02180838541472e-09,98082,283,65
"10007",0.14652054,2,216.546,2.04642224575157e-09,262388,290,72
"10008",0.56741861,3,135.279,2.05110858185501e-09,789257,289,71
"10009",0.33078263,2,317.838,2.04160565643789e-09,253271,291,73
"1001",0.37430077,3,419.143,2.2352276954034e-09,2065471,309,92
"10010",1.10446112,3,528.412,2.03684861359859e-09,434009,292,74
"10011",0.54901211,2,194.85,2.03513040445475e-09,368330,293,75
"10012",0.50990909,4,798.183,2.03396247340371e-09,441627,292,74
"10013",0.67477481,3,738.779,2.0145202906073e-09,229247,292,74
"10014",0.7876637,2,405.37,2.02446093983149e-09,235036,293,75
"10015",0.8395733,2,87.598,2.04942613630776e-09,514836,288,70
"10016",0.23487743,2,174.939,2.00553901038565e-09,47598,293,75
"10017",0.12377941,2,191.051,2.01356768198839e-09,3451,285,67
"10018",0.23860348,3,460.935,2.0136999184974e-09,212588,284,66
"10019",0.08080858,2,231.773,2.01110738925249e-09,71495,286,68
"1002",0.41321835,2,155.694,2.24206561345038e-09,2070916,308,91
"10020",0.63011398,4,710.161,2.03948639576088e-09,2800402,283,65
"10021",0.20690702,2,132.952,2.03834593021309e-09,1036584,284,66
"10022",0.16161716,2,220.142,1.99949053413417e-09,57562,287,69
"10023",0.27794447,1,155.19,1.9893376751067e-09,0,289,71
"10024",0.55588894,3,420.437,1.9985904389512e-09,44668,288,70
"10025",0.21156102,2,397.696,2.02385152163869e-09,1966860,285,67
"10026",0.07858576,2,269.225,2.03581723851206e-09,1980779,284,66
"10027",0.45247789,4,156.989,2.00749507299091e-09,680784,290,72
"10028",0.32700848,2,428.431,2.00639007812468e-09,172839,291,73
"10029",0.63501764,3,802.955,2.02723473010016e-09,1035132,286,68
"1003",0.240027,2,38.574,2.28269997697634e-09,164005,305,88
"10030",0.22355497,2,266.05,2.02547156944244e-09,537595,287,69
"10031",0.11177748,2,382.19,2.01396387672203e-09,525970,288,70
"10032",0,2,185.589,2.00881978876545e-09,517208,289,71
"10033",0.67316519,4,90.873,2.00541307068095e-09,167576,295,77
"10034",0.29481934,2,85.212,2.00436483651405e-09,22568,296,78
"10035",0.16613226,2,111.326,2.00442494035959e-09,432966,292,74
"10036",0,2,55.811,2.00535588295003e-09,446555,291,73
"10037",0.55855941,3,188.601,1.99052802624209e-09,393743,295,77
"10038",0.33226451,2,162.22,1.99088142180663e-09,405821,294,76
"10039",0.5779473,2,231.239,2.00455039137652e-09,195316,291,73
"1004",0.12435487,2,24.811,2.28384487010543e-09,178308,304,87
"10040",0.25405847,2,231.009,2.03206744119423e-09,21896,293,75
"10041",0.66455101,3,696.782,2.03670758757129e-09,35205,293,75
"10044",0.56640101,2,493.822,2.01225466568516e-09,187466,293,75
"10045",0.26845699,2,287.051,1.98749206658484e-09,35708,299,81
"10046",0.09290671,2,254.482,1.99442178707601e-09,49937,298,80
"10047",0.73337838,3,583.573,1.98334477491741e-09,39542,300,82
"10048",0.02342059,1,132.889,1.97510977842218e-09,0,302,84
"10049",0.04684119,2,140.185,1.98291454109823e-09,14996,301,83
"1005",0.38874449,2,103.001,2.3114142127802e-09,2167734,301,84
"10051",0.17510884,2,243.895,2.02133056861875e-09,59972,293,75
"10052",0.35021768,2,360.07,2.0185801537584e-09,44982,294,76
"10053",0.35468561,1,163.374,1.98976596580018e-09,0,296,78
"10054",0.52979445,3,590.125,1.99951327322368e-09,29991,295,77
"10055",0.64396921,5,806.292,1.99274943341188e-09,5178297,298,80
"10056",0.33154645,6,844.212,1.99898943483049e-09,5121011,297,79
"10057",0,1,111.65,1.99284165413239e-09,0,296,78
"10058",0.39220333,2,111.377,2.00351449316506e-09,29990,296,78
"10059",0.66355652,3,560.051,1.98923828858374e-09,170111,299,81
"1006",0.63319126,2,268.185,2.30722947492973e-09,2153445,302,85
"10060",0.07189031,4,94.618,1.99322272689382e-09,200383,296,78
